concurrency,request_index,ttft_s,e2e_s,n_tokens,error,level_wall_s
1,0,1.6777082982007414,2.0379976730328053,43,,22.533772042952478
1,1,0.7960818540304899,1.4945597329642624,88,,22.533772042952478
1,2,0.5435442221350968,1.3711075440514833,128,,22.533772042952478
1,3,0.7091035908088088,1.4923788867890835,128,,22.533772042952478
1,4,0.42532008793205023,0.5284060230478644,14,,22.533772042952478
1,5,0.766291077947244,1.1136871699709445,41,,22.533772042952478
1,6,0.3692354140803218,0.704120981041342,49,,22.533772042952478
1,7,0.7185945869423449,1.4926840160042048,128,,22.533772042952478
1,8,0.46220592502504587,1.2487713829614222,128,,22.533772042952478
1,9,0.32528098300099373,0.4033216719981283,14,,22.533772042952478
1,10,0.427693760022521,0.7279670680873096,45,,22.533772042952478
1,11,0.5116176079027355,0.9220442119985819,51,,22.533772042952478
1,12,0.4076079970691353,1.6042738480027765,127,,22.533772042952478
1,13,0.38520284998230636,1.2753751198761165,128,,22.533772042952478
1,14,0.40721318614669144,0.8094704251270741,33,,22.533772042952478
1,15,0.45817250991240144,0.8593620499596,41,,22.533772042952478
1,16,0.449837981024757,0.8180167560931295,53,,22.533772042952478
1,17,0.4513973139692098,1.2973850260023028,128,,22.533772042952478
1,18,0.3420149739831686,1.3126525601837784,128,,22.533772042952478
1,19,0.37720020906999707,0.5201811511069536,14,,22.533772042952478
2,0,0.5104140001349151,0.8263878349680454,36,,10.253251511836424
2,1,0.39048045687377453,0.8270667239557952,52,,10.253251511836424
2,2,0.41240980196744204,1.2321160780265927,128,,10.253251511836424
2,3,0.4412450809031725,1.3468529649544507,128,,10.253251511836424
2,4,0.4205634780228138,0.5727824540808797,14,,10.253251511836424
2,5,0.4272808919195086,0.8687425840180367,45,,10.253251511836424
2,6,0.4381312041077763,0.9559479800518602,64,,10.253251511836424
2,7,0.48899561492726207,1.3442764370702207,128,,10.253251511836424
2,8,0.4057863629423082,1.222325971815735,128,,10.253251511836424
2,9,0.424600669182837,0.5125447171740234,14,,10.253251511836424
2,10,0.40729136508889496,0.8269842069130391,45,,10.253251511836424
2,11,0.3804540110286325,0.826674988027662,59,,10.253251511836424
2,13,0.35854779183864594,1.1231987308710814,128,,10.253251511836424
2,12,0.43910672701895237,1.350239007966593,128,,10.253251511836424
2,14,0.399569429224357,0.5812337130773813,32,,10.253251511836424
2,15,0.5229722140356898,0.8381082171108574,45,,10.253251511836424
2,16,0.39521451317705214,0.7125541341956705,45,,10.253251511836424
2,17,0.43244967493228614,1.2291112269740552,128,,10.253251511836424
2,19,0.479786423034966,0.6092190470080823,14,,10.253251511836424
2,18,0.3806700638961047,1.8447240150999278,128,,10.253251511836424
4,1,0.4761539311148226,0.9287817620206624,75,,5.767695588059723
4,0,0.5149605099577457,1.0033351238816977,55,,5.767695588059723
4,3,0.3505974339786917,1.133132120128721,128,,5.767695588059723
4,2,0.41764301690272987,1.1826211079023778,128,,5.767695588059723
4,4,0.4423643669579178,0.5703349120449275,14,,5.767695588059723
4,5,0.45092410407960415,0.8521118289791048,43,,5.767695588059723
4,6,0.4101013229228556,1.1152920529711992,47,,5.767695588059723
4,9,0.36367391399107873,0.4894371840637177,13,,5.767695588059723
4,8,0.36537021794356406,1.05316442809999,128,,5.767695588059723
4,7,0.4428154539782554,1.4726561070419848,119,,5.767695588059723
4,10,0.5254074418917298,0.9709249208681285,42,,5.767695588059723
4,11,0.4630415120627731,0.9768434579018503,77,,5.767695588059723
4,13,0.35959606408141553,1.04490450094454,128,,5.767695588059723
4,14,0.4581203490961343,0.566321934107691,14,,5.767695588059723
4,12,0.41537891305051744,1.333276310004294,128,,5.767695588059723
4,16,0.46153206285089254,0.717900212854147,45,,5.767695588059723
4,15,0.4758811821229756,1.2773348800837994,47,,5.767695588059723
4,19,0.3322231851052493,0.5333706240635365,33,,5.767695588059723
4,18,0.34568963712081313,1.154903331073001,128,,5.767695588059723
4,17,0.42491449415683746,1.7869138021487743,128,,5.767695588059723
8,4,0.5448883518110961,0.6623956030234694,13,,3.08805731497705
8,1,0.56458545406349,0.9377456558868289,34,,3.08805731497705
8,6,0.4255134130362421,0.8757474450394511,55,,3.08805731497705
8,5,0.5399347189813852,0.9349311669357121,42,,3.08805731497705
8,0,0.6459123289678246,1.148477781098336,52,,3.08805731497705
8,3,0.520810395013541,1.1995886098593473,128,,3.08805731497705
8,2,0.634605259867385,1.345521500799805,128,,3.08805731497705
8,7,0.4420895541552454,1.3854528351221234,126,,3.08805731497705
8,9,0.43325424287468195,0.6777979829348624,32,,3.08805731497705
8,11,0.3393359819892794,0.7130256691016257,65,,3.08805731497705
8,14,0.35541727393865585,0.4616466499865055,19,,3.08805731497705
8,10,0.5051868939772248,0.8665743828751147,46,,3.08805731497705
8,8,0.39180455286987126,1.3014263028744608,128,,3.08805731497705
8,13,0.39288510708138347,1.096771789016202,128,,3.08805731497705
8,19,0.3799884880427271,0.48680735589005053,14,,3.08805731497705
8,15,0.45547234709374607,0.8610481901559979,46,,3.08805731497705
8,12,0.48335654800757766,1.3255791431292892,128,,3.08805731497705
8,16,0.38702355697751045,0.9061976820230484,50,,3.08805731497705
8,18,0.40484255109913647,1.061457087052986,128,,3.08805731497705
8,17,0.37902473588474095,1.2472261399962008,128,,3.08805731497705
