timestamp,gpu_utilization_pct,power_draw_w,memory_used_mib,memory_total_mib
2026-09-19T13:30:16.503199+00:00,0.0,34.46,28919.0,49140.0
2026-09-19T13:30:17.524094+00:00,0.0,34.49,28919.0,49140.0
2026-09-19T13:30:18.547147+00:00,0.0,34.4,28919.0,49140.0
2026-09-19T13:30:19.568537+00:00,0.0,34.55,28919.0,49140.0
2026-09-19T13:30:20.591735+00:00,0.0,34.54,28919.0,49140.0
2026-09-19T13:30:21.612784+00:00,0.0,34.54,28919.0,49140.0
2026-09-19T13:30:22.635395+00:00,0.0,34.57,28919.0,49140.0
2026-09-19T13:30:23.656509+00:00,0.0,34.53,28919.0,49140.0
2026-09-19T13:30:24.679768+00:00,0.0,34.56,28919.0,49140.0
2026-09-19T13:30:25.701433+00:00,0.0,34.56,28919.0,49140.0
2026-09-19T13:30:26.725356+00:00,0.0,34.59,28919.0,49140.0
2026-09-19T13:30:27.746926+00:00,0.0,34.66,28919.0,49140.0
2026-09-19T13:30:28.771938+00:00,0.0,34.75,28919.0,49140.0
2026-09-19T13:30:29.794017+00:00,0.0,34.76,28919.0,49140.0
2026-09-19T13:30:30.818075+00:00,0.0,34.62,28919.0,49140.0
2026-09-19T13:30:31.841266+00:00,0.0,34.56,28919.0,49140.0
2026-09-19T13:30:32.863512+00:00,0.0,34.64,28919.0,49140.0
2026-09-19T13:30:33.887360+00:00,0.0,34.63,28919.0,49140.0
2026-09-19T13:30:34.911022+00:00,0.0,34.57,28919.0,49140.0
2026-09-19T13:30:35.934866+00:00,0.0,34.55,28919.0,49140.0
2026-09-19T13:30:36.958051+00:00,0.0,34.61,28919.0,49140.0
2026-09-19T13:30:37.980457+00:00,0.0,34.62,28919.0,49140.0
2026-09-19T13:30:39.002926+00:00,0.0,34.55,28919.0,49140.0
2026-09-19T13:30:40.024913+00:00,0.0,34.53,28919.0,49140.0
2026-09-19T13:30:41.049496+00:00,0.0,34.46,28919.0,49140.0
2026-09-19T13:30:42.071375+00:00,0.0,34.42,28919.0,49140.0
2026-09-19T13:30:43.097759+00:00,15.0,50.13,28919.0,49140.0
2026-09-19T13:30:44.120333+00:00,93.0,274.9,28919.0,49140.0
2026-09-19T13:30:45.143963+00:00,100.0,299.19,28919.0,49140.0
2026-09-19T13:30:46.166161+00:00,100.0,299.09,28919.0,49140.0
2026-09-19T13:30:47.187774+00:00,100.0,299.28,28919.0,49140.0
2026-09-19T13:30:48.210405+00:00,100.0,299.65,28919.0,49140.0
2026-09-19T13:30:49.233221+00:00,100.0,293.38,28919.0,49140.0
2026-09-19T13:30:50.257082+00:00,100.0,299.64,28919.0,49140.0
2026-09-19T13:30:51.279602+00:00,100.0,299.56,28919.0,49140.0
2026-09-19T13:30:52.302845+00:00,100.0,295.82,28919.0,49140.0
2026-09-19T13:30:53.324509+00:00,100.0,296.12,28919.0,49140.0
2026-09-19T13:30:54.345793+00:00,100.0,299.24,28919.0,49140.0
2026-09-19T13:30:55.369570+00:00,89.0,295.48,28919.0,49140.0
2026-09-19T13:30:56.391739+00:00,100.0,299.96,28919.0,49140.0
2026-09-19T13:30:57.414031+00:00,100.0,298.96,28919.0,49140.0
2026-09-19T13:30:58.438798+00:00,100.0,295.44,28919.0,49140.0
2026-09-19T13:30:59.461487+00:00,100.0,298.55,28919.0,49140.0
2026-09-19T13:31:00.485754+00:00,100.0,299.76,28919.0,49140.0
2026-09-19T13:31:01.507515+00:00,100.0,294.62,28919.0,49140.0
2026-09-19T13:31:02.531553+00:00,100.0,299.17,28919.0,49140.0
2026-09-19T13:31:03.553911+00:00,100.0,299.34,28919.0,49140.0
2026-09-19T13:31:04.576259+00:00,100.0,299.47,28919.0,49140.0
2026-09-19T13:31:05.597486+00:00,100.0,296.14,28919.0,49140.0
2026-09-19T13:31:06.622637+00:00,100.0,297.16,28919.0,49140.0
2026-09-19T13:31:07.644324+00:00,100.0,299.13,28919.0,49140.0
2026-09-19T13:31:08.669226+00:00,100.0,294.46,28919.0,49140.0
2026-09-19T13:31:09.691946+00:00,100.0,299.45,28919.0,49140.0
2026-09-19T13:31:10.715841+00:00,100.0,299.33,28919.0,49140.0
2026-09-19T13:31:11.737484+00:00,100.0,297.36,28919.0,49140.0
2026-09-19T13:31:12.761709+00:00,92.0,295.83,28919.0,49140.0
2026-09-19T13:31:13.784027+00:00,100.0,299.08,28919.0,49140.0
2026-09-19T13:31:14.807581+00:00,100.0,299.18,28919.0,49140.0
2026-09-19T13:31:15.832267+00:00,100.0,298.57,28919.0,49140.0
2026-09-19T13:31:16.855463+00:00,100.0,299.49,28919.0,49140.0
2026-09-19T13:31:17.876699+00:00,100.0,299.25,28919.0,49140.0
2026-09-19T13:31:18.900746+00:00,100.0,295.99,28919.0,49140.0
2026-09-19T13:31:19.922877+00:00,100.0,299.42,28919.0,49140.0
2026-09-19T13:31:20.947537+00:00,100.0,295.12,28919.0,49140.0
2026-09-19T13:31:21.969547+00:00,100.0,294.42,28919.0,49140.0
2026-09-19T13:31:22.993150+00:00,100.0,292.43,28919.0,49140.0
2026-09-19T13:31:24.015368+00:00,100.0,299.23,28919.0,49140.0
2026-09-19T13:31:25.038358+00:00,100.0,299.07,28919.0,49140.0
2026-09-19T13:31:26.060546+00:00,100.0,299.49,28919.0,49140.0
2026-09-19T13:31:27.084475+00:00,100.0,299.46,28919.0,49140.0
2026-09-19T13:31:28.107388+00:00,100.0,299.28,28919.0,49140.0
2026-09-19T13:31:29.131438+00:00,100.0,299.43,28919.0,49140.0
2026-09-19T13:31:30.152804+00:00,100.0,299.52,28919.0,49140.0
2026-09-19T13:31:31.174223+00:00,100.0,299.17,28919.0,49140.0
2026-09-19T13:31:32.198138+00:00,100.0,299.38,28919.0,49140.0
2026-09-19T13:31:33.220572+00:00,100.0,298.76,28919.0,49140.0
2026-09-19T13:31:34.244702+00:00,100.0,299.2,28919.0,49140.0
2026-09-19T13:31:35.267321+00:00,100.0,299.15,28919.0,49140.0
2026-09-19T13:31:36.291005+00:00,100.0,299.17,28919.0,49140.0
2026-09-19T13:31:37.313288+00:00,100.0,298.93,28919.0,49140.0
2026-09-19T13:31:38.335880+00:00,100.0,299.41,28919.0,49140.0
2026-09-19T13:31:39.357282+00:00,100.0,300.01,28919.0,49140.0
2026-09-19T13:31:40.380564+00:00,100.0,299.05,28919.0,49140.0
2026-09-19T13:31:41.402305+00:00,100.0,299.34,28919.0,49140.0
2026-09-19T13:31:42.426591+00:00,100.0,299.36,28919.0,49140.0
2026-09-19T13:31:43.449263+00:00,87.0,285.59,28919.0,49140.0
2026-09-19T13:31:44.473153+00:00,100.0,298.71,28919.0,49140.0
2026-09-19T13:31:45.495682+00:00,100.0,298.8,28919.0,49140.0
2026-09-19T13:31:46.518259+00:00,100.0,299.48,28919.0,49140.0
2026-09-19T13:31:47.539990+00:00,100.0,299.34,28919.0,49140.0
2026-09-19T13:31:48.564973+00:00,100.0,299.59,28919.0,49140.0
2026-09-19T13:31:49.588959+00:00,100.0,299.07,28919.0,49140.0
2026-09-19T13:31:50.612189+00:00,100.0,299.36,28919.0,49140.0
2026-09-19T13:31:51.634828+00:00,100.0,299.33,28919.0,49140.0
2026-09-19T13:31:52.656859+00:00,100.0,299.63,28919.0,49140.0
2026-09-19T13:31:53.679248+00:00,100.0,299.29,28919.0,49140.0
2026-09-19T13:31:54.702915+00:00,11.0,270.63,28919.0,49140.0
2026-09-19T13:31:55.726877+00:00,100.0,290.81,28919.0,49140.0
2026-09-19T13:31:56.749634+00:00,100.0,297.81,28919.0,49140.0
2026-09-19T13:31:57.773488+00:00,100.0,298.76,28919.0,49140.0
2026-09-19T13:31:58.795695+00:00,100.0,298.96,28919.0,49140.0
2026-09-19T13:31:59.819446+00:00,100.0,298.88,28919.0,49140.0
2026-09-19T13:32:00.841216+00:00,100.0,298.74,28919.0,49140.0
2026-09-19T13:32:01.863422+00:00,0.0,195.6,28919.0,49140.0
2026-09-19T13:32:02.885237+00:00,0.0,147.66,28919.0,49140.0
2026-09-19T13:32:03.908820+00:00,0.0,120.86,28919.0,49140.0
2026-09-19T13:32:04.930970+00:00,0.0,114.78,28919.0,49140.0
2026-09-19T13:32:05.953599+00:00,0.0,108.66,28919.0,49140.0
2026-09-19T13:32:06.976989+00:00,0.0,108.21,28919.0,49140.0
2026-09-19T13:32:07.999930+00:00,0.0,107.82,28919.0,49140.0
2026-09-19T13:32:09.022567+00:00,0.0,107.66,28919.0,49140.0
2026-09-19T13:32:10.045922+00:00,0.0,107.43,28919.0,49140.0
2026-09-19T13:32:11.069393+00:00,0.0,107.14,28919.0,49140.0
2026-09-19T13:32:12.092269+00:00,0.0,106.89,28919.0,49140.0
2026-09-19T13:32:13.116799+00:00,0.0,105.87,28919.0,49140.0
2026-09-19T13:32:14.138581+00:00,0.0,105.78,28919.0,49140.0
2026-09-19T13:32:15.161307+00:00,0.0,105.57,28919.0,49140.0
