timestamp,gpu_utilization_pct,power_draw_w,memory_used_mib,memory_total_mib
2026-09-19T13:41:09.355190+00:00,0.0,34.86,43279.0,49140.0
2026-09-19T13:41:10.377247+00:00,0.0,34.92,43279.0,49140.0
2026-09-19T13:41:11.399987+00:00,0.0,34.84,43279.0,49140.0
2026-09-19T13:41:12.423462+00:00,0.0,34.82,43279.0,49140.0
2026-09-19T13:41:13.446970+00:00,0.0,34.87,43279.0,49140.0
2026-09-19T13:41:14.470378+00:00,0.0,34.97,43279.0,49140.0
2026-09-19T13:41:15.493589+00:00,0.0,35.1,43279.0,49140.0
2026-09-19T13:41:16.516363+00:00,0.0,34.98,43279.0,49140.0
2026-09-19T13:41:17.539323+00:00,0.0,34.88,43279.0,49140.0
2026-09-19T13:41:18.561466+00:00,0.0,34.87,43279.0,49140.0
2026-09-19T13:41:19.583692+00:00,0.0,34.85,43279.0,49140.0
2026-09-19T13:41:20.605952+00:00,0.0,34.91,43279.0,49140.0
2026-09-19T13:41:21.628326+00:00,0.0,35.01,43279.0,49140.0
2026-09-19T13:41:22.651809+00:00,0.0,34.99,43279.0,49140.0
2026-09-19T13:41:23.674506+00:00,0.0,34.88,43279.0,49140.0
2026-09-19T13:41:24.696610+00:00,0.0,34.89,43279.0,49140.0
2026-09-19T13:41:25.719711+00:00,97.0,63.43,43283.0,49140.0
2026-09-19T13:41:26.742546+00:00,97.0,283.09,43283.0,49140.0
2026-09-19T13:41:27.765686+00:00,97.0,281.24,43283.0,49140.0
2026-09-19T13:41:28.788221+00:00,97.0,282.25,43283.0,49140.0
2026-09-19T13:41:29.811973+00:00,97.0,286.49,43283.0,49140.0
2026-09-19T13:41:30.836655+00:00,96.0,286.21,43283.0,49140.0
2026-09-19T13:41:31.860011+00:00,97.0,287.28,43285.0,49140.0
2026-09-19T13:41:32.883690+00:00,97.0,289.25,43285.0,49140.0
2026-09-19T13:41:33.914429+00:00,97.0,289.33,43285.0,49140.0
2026-09-19T13:41:34.938641+00:00,97.0,290.46,43285.0,49140.0
2026-09-19T13:41:35.962133+00:00,97.0,289.0,43285.0,49140.0
2026-09-19T13:41:36.984290+00:00,97.0,291.76,43285.0,49140.0
2026-09-19T13:41:38.007642+00:00,97.0,291.61,43285.0,49140.0
2026-09-19T13:41:39.030849+00:00,97.0,291.3,43285.0,49140.0
2026-09-19T13:41:40.053658+00:00,97.0,290.92,43285.0,49140.0
2026-09-19T13:41:41.076489+00:00,93.0,286.2,43285.0,49140.0
2026-09-19T13:41:42.098994+00:00,93.0,291.57,43285.0,49140.0
2026-09-19T13:41:43.123286+00:00,97.0,293.68,43285.0,49140.0
2026-09-19T13:41:44.152264+00:00,96.0,293.58,43285.0,49140.0
2026-09-19T13:41:45.179211+00:00,97.0,294.51,43285.0,49140.0
2026-09-19T13:41:46.201725+00:00,97.0,295.32,43285.0,49140.0
2026-09-19T13:41:47.225173+00:00,97.0,296.42,43285.0,49140.0
2026-09-19T13:41:48.248638+00:00,97.0,295.64,43285.0,49140.0
2026-09-19T13:41:49.273017+00:00,97.0,297.28,43285.0,49140.0
2026-09-19T13:41:50.296324+00:00,97.0,298.05,43285.0,49140.0
2026-09-19T13:41:51.320919+00:00,97.0,298.57,43285.0,49140.0
2026-09-19T13:41:52.343833+00:00,97.0,297.65,43285.0,49140.0
2026-09-19T13:41:53.367936+00:00,97.0,299.13,43285.0,49140.0
2026-09-19T13:41:54.394393+00:00,97.0,299.16,43285.0,49140.0
2026-09-19T13:41:55.420408+00:00,97.0,299.15,43285.0,49140.0
2026-09-19T13:41:56.445842+00:00,97.0,298.04,43285.0,49140.0
2026-09-19T13:41:57.470392+00:00,97.0,297.9,43285.0,49140.0
2026-09-19T13:41:58.493885+00:00,97.0,297.97,43285.0,49140.0
2026-09-19T13:41:59.525153+00:00,97.0,298.69,43285.0,49140.0
2026-09-19T13:42:00.552354+00:00,97.0,298.89,43285.0,49140.0
2026-09-19T13:42:01.575668+00:00,97.0,299.01,43285.0,49140.0
2026-09-19T13:42:02.598420+00:00,97.0,298.74,43285.0,49140.0
2026-09-19T13:42:03.621294+00:00,97.0,297.49,43285.0,49140.0
2026-09-19T13:42:04.645170+00:00,97.0,298.95,43285.0,49140.0
2026-09-19T13:42:05.668649+00:00,97.0,298.85,43285.0,49140.0
2026-09-19T13:42:06.692231+00:00,97.0,298.77,43285.0,49140.0
2026-09-19T13:42:07.716595+00:00,97.0,298.27,43285.0,49140.0
2026-09-19T13:42:08.741214+00:00,96.0,298.91,43285.0,49140.0
2026-09-19T13:42:09.769612+00:00,97.0,297.69,43285.0,49140.0
2026-09-19T13:42:10.792244+00:00,97.0,298.81,43285.0,49140.0
2026-09-19T13:42:11.816417+00:00,97.0,299.21,43285.0,49140.0
2026-09-19T13:42:12.840544+00:00,97.0,298.83,43285.0,49140.0
2026-09-19T13:42:13.865324+00:00,93.0,296.28,43285.0,49140.0
2026-09-19T13:42:14.889926+00:00,97.0,299.38,43285.0,49140.0
2026-09-19T13:42:15.915758+00:00,97.0,299.07,43285.0,49140.0
2026-09-19T13:42:16.942082+00:00,97.0,298.29,43285.0,49140.0
2026-09-19T13:42:17.969605+00:00,97.0,298.99,43285.0,49140.0
2026-09-19T13:42:18.993749+00:00,97.0,299.32,43285.0,49140.0
2026-09-19T13:42:20.018505+00:00,97.0,298.99,43285.0,49140.0
2026-09-19T13:42:21.041618+00:00,97.0,299.25,43285.0,49140.0
2026-09-19T13:42:22.065814+00:00,97.0,299.16,43285.0,49140.0
2026-09-19T13:42:23.089642+00:00,97.0,299.33,43285.0,49140.0
2026-09-19T13:42:24.114776+00:00,97.0,299.23,43285.0,49140.0
2026-09-19T13:42:25.138383+00:00,97.0,299.2,43285.0,49140.0
2026-09-19T13:42:26.162503+00:00,80.0,291.65,43285.0,49140.0
2026-09-19T13:42:27.186495+00:00,97.0,298.23,43285.0,49140.0
2026-09-19T13:42:28.209283+00:00,96.0,299.02,43285.0,49140.0
2026-09-19T13:42:29.232303+00:00,97.0,298.88,43285.0,49140.0
2026-09-19T13:42:30.254999+00:00,97.0,299.04,43285.0,49140.0
2026-09-19T13:42:31.278532+00:00,97.0,299.03,43285.0,49140.0
2026-09-19T13:42:32.301363+00:00,97.0,298.39,43285.0,49140.0
2026-09-19T13:42:33.331590+00:00,97.0,299.18,43285.0,49140.0
2026-09-19T13:42:34.355009+00:00,97.0,298.58,43285.0,49140.0
2026-09-19T13:42:35.379406+00:00,97.0,298.93,43285.0,49140.0
2026-09-19T13:42:36.402296+00:00,97.0,298.95,43285.0,49140.0
2026-09-19T13:42:37.426539+00:00,97.0,298.34,43285.0,49140.0
2026-09-19T13:42:38.449775+00:00,97.0,299.21,43285.0,49140.0
2026-09-19T13:42:39.473140+00:00,96.0,299.25,43285.0,49140.0
2026-09-19T13:42:40.496698+00:00,97.0,298.62,43285.0,49140.0
2026-09-19T13:42:41.520479+00:00,97.0,298.28,43285.0,49140.0
2026-09-19T13:42:42.545052+00:00,97.0,298.72,43285.0,49140.0
2026-09-19T13:42:43.567865+00:00,97.0,298.77,43285.0,49140.0
2026-09-19T13:42:44.591106+00:00,97.0,298.62,43285.0,49140.0
2026-09-19T13:42:45.613954+00:00,97.0,298.86,43285.0,49140.0
2026-09-19T13:42:46.636303+00:00,96.0,299.2,43285.0,49140.0
2026-09-19T13:42:47.661028+00:00,95.0,297.68,43285.0,49140.0
2026-09-19T13:42:48.683315+00:00,96.0,299.65,43285.0,49140.0
2026-09-19T13:42:49.706083+00:00,97.0,298.78,43285.0,49140.0
2026-09-19T13:42:50.729833+00:00,97.0,299.48,43285.0,49140.0
2026-09-19T13:42:51.753293+00:00,97.0,299.07,43285.0,49140.0
2026-09-19T13:42:52.783047+00:00,97.0,298.74,43285.0,49140.0
2026-09-19T13:42:53.806455+00:00,96.0,298.6,43285.0,49140.0
2026-09-19T13:42:54.830311+00:00,97.0,298.75,43285.0,49140.0
2026-09-19T13:42:55.854302+00:00,84.0,294.77,43285.0,49140.0
2026-09-19T13:42:56.877318+00:00,97.0,288.32,43285.0,49140.0
2026-09-19T13:42:57.903709+00:00,97.0,298.25,43285.0,49140.0
2026-09-19T13:42:58.927683+00:00,96.0,298.35,43285.0,49140.0
2026-09-19T13:42:59.951734+00:00,97.0,299.64,43285.0,49140.0
2026-09-19T13:43:00.974585+00:00,97.0,298.41,43285.0,49140.0
2026-09-19T13:43:01.996824+00:00,97.0,297.94,43285.0,49140.0
2026-09-19T13:43:03.021391+00:00,97.0,298.65,43285.0,49140.0
2026-09-19T13:43:04.045562+00:00,96.0,298.08,43285.0,49140.0
2026-09-19T13:43:05.069155+00:00,96.0,296.9,43285.0,49140.0
2026-09-19T13:43:06.092090+00:00,97.0,298.41,43285.0,49140.0
2026-09-19T13:43:07.117013+00:00,97.0,298.55,43285.0,49140.0
2026-09-19T13:43:08.141191+00:00,97.0,299.2,43285.0,49140.0
2026-09-19T13:43:09.164510+00:00,97.0,298.27,43285.0,49140.0
2026-09-19T13:43:10.188558+00:00,97.0,299.45,43285.0,49140.0
2026-09-19T13:43:11.212070+00:00,97.0,298.81,43285.0,49140.0
2026-09-19T13:43:12.236874+00:00,97.0,298.99,43285.0,49140.0
2026-09-19T13:43:13.260655+00:00,96.0,298.9,43285.0,49140.0
2026-09-19T13:43:14.283892+00:00,97.0,298.87,43285.0,49140.0
2026-09-19T13:43:15.306393+00:00,97.0,299.17,43285.0,49140.0
2026-09-19T13:43:16.328861+00:00,97.0,298.91,43285.0,49140.0
2026-09-19T13:43:17.358367+00:00,96.0,298.33,43285.0,49140.0
2026-09-19T13:43:18.382014+00:00,97.0,297.39,43285.0,49140.0
2026-09-19T13:43:19.404046+00:00,97.0,299.58,43285.0,49140.0
2026-09-19T13:43:20.428223+00:00,93.0,298.57,43285.0,49140.0
2026-09-19T13:43:21.451869+00:00,97.0,298.31,43285.0,49140.0
2026-09-19T13:43:22.474901+00:00,97.0,298.43,43285.0,49140.0
2026-09-19T13:43:23.499911+00:00,97.0,298.05,43285.0,49140.0
2026-09-19T13:43:24.524088+00:00,97.0,298.42,43285.0,49140.0
2026-09-19T13:43:25.547141+00:00,97.0,299.11,43285.0,49140.0
2026-09-19T13:43:26.572891+00:00,97.0,298.59,43285.0,49140.0
2026-09-19T13:43:27.596638+00:00,97.0,298.59,43285.0,49140.0
2026-09-19T13:43:28.620835+00:00,97.0,269.83,43287.0,49140.0
2026-09-19T13:43:29.644060+00:00,97.0,299.05,43287.0,49140.0
2026-09-19T13:43:30.666461+00:00,97.0,299.58,43287.0,49140.0
2026-09-19T13:43:31.691012+00:00,97.0,299.03,43287.0,49140.0
2026-09-19T13:43:32.715042+00:00,96.0,298.38,43287.0,49140.0
2026-09-19T13:43:33.739690+00:00,97.0,298.49,43287.0,49140.0
2026-09-19T13:43:34.762717+00:00,97.0,299.14,43287.0,49140.0
2026-09-19T13:43:35.788630+00:00,97.0,299.2,43287.0,49140.0
2026-09-19T13:43:36.812699+00:00,97.0,298.3,43287.0,49140.0
2026-09-19T13:43:37.836661+00:00,97.0,299.31,43287.0,49140.0
2026-09-19T13:43:38.861295+00:00,97.0,299.01,43287.0,49140.0
2026-09-19T13:43:39.883678+00:00,97.0,299.08,43287.0,49140.0
2026-09-19T13:43:40.907871+00:00,96.0,298.79,43287.0,49140.0
2026-09-19T13:43:41.932173+00:00,96.0,300.24,43287.0,49140.0
2026-09-19T13:43:42.955728+00:00,97.0,298.54,43287.0,49140.0
2026-09-19T13:43:43.979584+00:00,96.0,298.29,43287.0,49140.0
2026-09-19T13:43:45.006896+00:00,97.0,298.62,43287.0,49140.0
2026-09-19T13:43:46.030875+00:00,97.0,299.44,43287.0,49140.0
2026-09-19T13:43:47.055040+00:00,97.0,299.4,43287.0,49140.0
