concurrency,request_index,ttft_s,e2e_s,n_tokens,error,level_wall_s
1,0,0.44676684704609215,1.2708771780598909,38,,40.02505868882872
1,1,0.03601690195500851,1.6651008778717369,74,,40.02505868882872
1,2,0.03449083096347749,2.867981761926785,128,,40.02505868882872
1,3,0.03661661199294031,2.870962714077905,128,,40.02505868882872
1,4,0.03562952484935522,1.2186688929796219,54,,40.02505868882872
1,5,0.03601595992222428,0.8620659539010376,38,,40.02505868882872
1,6,0.0359499747864902,1.7104522939771414,76,,40.02505868882872
1,7,0.04084500903263688,2.8742060388904065,128,,40.02505868882872
1,8,0.03540119109675288,2.8690848890691996,128,,40.02505868882872
1,9,0.03673165012151003,1.8442196240648627,82,,40.02505868882872
1,10,0.03564041596837342,0.8615284177940339,38,,40.02505868882872
1,11,0.03503242996521294,1.7100215670652688,76,,40.02505868882872
1,12,0.038468571146950126,2.8747271741740406,128,,40.02505868882872
1,13,0.03420648002065718,2.8711168370209634,128,,40.02505868882872
1,14,0.03470319393090904,1.219013124005869,54,,40.02505868882872
1,15,0.03577103395946324,0.8627241170033813,38,,40.02505868882872
1,16,0.03579507884569466,1.7115436289459467,76,,40.02505868882872
1,17,0.03662870405241847,2.8760670551564544,128,,40.02505868882872
1,18,0.035424595000222325,2.8725355388596654,128,,40.02505868882872
1,19,0.035716711077839136,1.6222402839921415,72,,40.02505868882872
2,0,0.062064032070338726,0.8934780699200928,38,,20.585847839014605
2,1,0.06269372790120542,1.7017263120505959,74,,20.585847839014605
2,2,0.06590501288883388,2.916348519967869,128,,20.585847839014605
2,3,0.06637407490052283,2.9181874149944633,128,,20.585847839014605
2,5,0.06572975893504918,0.8975147199817002,38,,20.585847839014605
2,4,0.06558078620582819,1.9076112960465252,83,,20.585847839014605
2,6,0.06589022488333285,1.750981902005151,76,,20.585847839014605
2,7,0.06584296398796141,2.9188123871572316,128,,20.585847839014605
2,8,0.06542128301225603,2.9194002009462565,128,,20.585847839014605
2,9,0.06549876113422215,1.6382688849698752,71,,20.585847839014605
2,10,0.06661058403551579,0.8954430599696934,38,,20.585847839014605
2,11,0.06561456015333533,1.705286251148209,74,,20.585847839014605
2,12,0.06601683492772281,2.919798512943089,128,,20.585847839014605
2,13,0.06579475291073322,2.920071471016854,128,,20.585847839014605
2,14,0.06460721511393785,1.6368085241410881,71,,20.585847839014605
2,15,0.06466637901030481,0.8966666439082474,38,,20.585847839014605
2,16,0.06595653994008899,1.7520199271384627,76,,20.585847839014605
2,17,0.06528145610354841,2.9245282460469753,128,,20.585847839014605
2,18,0.06110491789877415,2.916204022942111,128,,20.585847839014605
2,19,0.06099359691143036,1.6345797539688647,71,,20.585847839014605
4,0,0.13384965993463993,0.9692344469949603,38,,11.303371268091723
4,1,0.11094607599079609,1.7596952831372619,74,,11.303371268091723
4,5,0.06571859796531498,0.9019985948689282,38,,11.303371268091723
4,4,0.06625562789849937,1.9184077219106257,83,,11.303371268091723
4,2,0.0644931891001761,2.9319666910450906,128,,11.303371268091723
4,3,0.065266348188743,2.934717800002545,128,,11.303371268091723
4,6,0.06670498219318688,1.7159492271021008,74,,11.303371268091723
4,9,0.06413118983618915,1.8703527159523219,81,,11.303371268091723
4,10,0.06475500599481165,0.9022208261303604,38,,11.303371268091723
4,7,0.06908416515216231,2.935177399078384,128,,11.303371268091723
4,8,0.08986335201188922,2.960438385140151,128,,11.303371268091723
4,11,0.0661649249959737,1.7612117000389844,76,,11.303371268091723
4,15,0.06599098490551114,0.9020276968367398,38,,11.303371268091723
4,14,0.06408877996727824,1.64769306499511,71,,11.303371268091723
4,12,0.06677720998413861,2.934218773851171,128,,11.303371268091723
4,13,0.06957664084620774,2.935799827799201,128,,11.303371268091723
4,16,0.0894053119700402,1.7838877399917692,76,,11.303371268091723
4,19,0.06319635384716094,1.64359498093836,71,,11.303371268091723
4,17,0.0634682490490377,2.929652870167047,128,,11.303371268091723
4,18,0.06761840800754726,2.928539492888376,128,,11.303371268091723
8,0,0.23314977809786797,1.0765372819732875,38,,6.726805757032707
8,5,0.1298642149195075,0.9761280750390142,38,,6.726805757032707
8,4,0.15293997689150274,1.3599668310489506,54,,6.726805757032707
8,1,0.23355209408327937,1.9398274740669876,76,,6.726805757032707
8,6,0.10276021505706012,1.834163849009201,76,,6.726805757032707
8,10,0.06547441286966205,0.9075587170664221,38,,6.726805757032707
8,7,0.07937266188673675,2.9691022988408804,128,,6.726805757032707
8,2,0.20629706815816462,3.1225902889855206,128,,6.726805757032707
8,3,0.1773318308405578,3.093839078908786,128,,6.726805757032707
8,9,0.0619044778868556,2.4068787898868322,104,,6.726805757032707
8,11,0.08828165498562157,1.7522004740312696,74,,6.726805757032707
8,8,0.08970991894602776,2.9813694739714265,128,,6.726805757032707
8,15,0.13023601192981005,0.9747149478644133,38,,6.726805757032707
8,14,0.1556345981080085,1.3652166379615664,54,,6.726805757032707
8,12,0.0638645130675286,2.9562922280747443,128,,6.726805757032707
8,16,0.10639335098676383,1.7684484161436558,74,,6.726805757032707
8,13,0.06726972502656281,2.9557246170006692,128,,6.726805757032707
8,19,0.06905581103637815,1.8795650640968233,81,,6.726805757032707
8,17,0.06807373417541385,2.9438999991398305,128,,6.726805757032707
8,18,0.06762999994680285,2.939075337955728,128,,6.726805757032707
