timestamp,gpu_utilization_pct,power_draw_w,memory_used_mib,memory_total_mib
2026-09-20T16:16:20.423274+00:00,0.0,34.16,22915.0,49140.0
2026-09-20T16:16:21.448055+00:00,0.0,34.28,22915.0,49140.0
2026-09-20T16:16:22.470849+00:00,0.0,34.24,22915.0,49140.0
2026-09-20T16:16:23.493784+00:00,0.0,34.19,22915.0,49140.0
2026-09-20T16:16:24.517746+00:00,0.0,34.13,22915.0,49140.0
2026-09-20T16:16:25.540502+00:00,0.0,34.21,22915.0,49140.0
2026-09-20T16:16:26.565046+00:00,0.0,34.33,22915.0,49140.0
2026-09-20T16:16:27.587667+00:00,0.0,34.44,22915.0,49140.0
2026-09-20T16:16:28.612846+00:00,0.0,34.42,22915.0,49140.0
2026-09-20T16:16:29.635527+00:00,0.0,34.31,22915.0,49140.0
2026-09-20T16:16:30.658051+00:00,100.0,200.1,22915.0,49140.0
2026-09-20T16:16:31.680920+00:00,93.0,286.23,22915.0,49140.0
2026-09-20T16:16:32.706972+00:00,100.0,276.43,22915.0,49140.0
2026-09-20T16:16:33.730248+00:00,67.0,278.21,22915.0,49140.0
2026-09-20T16:16:34.752633+00:00,100.0,290.36,22915.0,49140.0
2026-09-20T16:16:35.775204+00:00,98.0,278.56,22915.0,49140.0
2026-09-20T16:16:36.798224+00:00,100.0,292.13,22915.0,49140.0
2026-09-20T16:16:37.820441+00:00,100.0,280.09,22915.0,49140.0
2026-09-20T16:16:38.845718+00:00,100.0,292.82,22915.0,49140.0
2026-09-20T16:16:39.867877+00:00,100.0,281.11,22915.0,49140.0
2026-09-20T16:16:40.890660+00:00,100.0,294.36,22915.0,49140.0
2026-09-20T16:16:41.913848+00:00,100.0,283.09,22915.0,49140.0
2026-09-20T16:16:42.935696+00:00,96.0,295.25,22915.0,49140.0
2026-09-20T16:16:43.958363+00:00,100.0,287.26,22915.0,49140.0
2026-09-20T16:16:44.980883+00:00,65.0,285.07,22915.0,49140.0
2026-09-20T16:16:46.005579+00:00,100.0,297.8,22915.0,49140.0
2026-09-20T16:16:47.028342+00:00,99.0,285.51,22915.0,49140.0
2026-09-20T16:16:48.053357+00:00,100.0,298.26,22915.0,49140.0
2026-09-20T16:16:49.075992+00:00,100.0,286.24,22915.0,49140.0
2026-09-20T16:16:50.098447+00:00,100.0,298.5,22915.0,49140.0
2026-09-20T16:16:51.121051+00:00,100.0,287.34,22915.0,49140.0
2026-09-20T16:16:52.143454+00:00,100.0,298.81,22915.0,49140.0
2026-09-20T16:16:53.167840+00:00,100.0,288.52,22915.0,49140.0
2026-09-20T16:16:54.190456+00:00,91.0,286.08,22915.0,49140.0
2026-09-20T16:16:55.211878+00:00,100.0,289.3,22915.0,49140.0
2026-09-20T16:16:56.236822+00:00,58.0,284.93,22915.0,49140.0
2026-09-20T16:16:57.260070+00:00,100.0,299.01,22915.0,49140.0
2026-09-20T16:16:58.285314+00:00,100.0,288.07,22915.0,49140.0
2026-09-20T16:16:59.309017+00:00,100.0,298.83,22915.0,49140.0
2026-09-20T16:17:00.330824+00:00,100.0,288.64,22915.0,49140.0
2026-09-20T16:17:01.354616+00:00,100.0,298.47,22915.0,49140.0
2026-09-20T16:17:02.377784+00:00,100.0,290.66,22915.0,49140.0
2026-09-20T16:17:03.401062+00:00,100.0,298.35,22915.0,49140.0
2026-09-20T16:17:04.425354+00:00,100.0,290.88,22915.0,49140.0
2026-09-20T16:17:05.447696+00:00,65.0,286.49,22915.0,49140.0
2026-09-20T16:17:06.470998+00:00,100.0,299.3,22915.0,49140.0
2026-09-20T16:17:07.493979+00:00,82.0,277.3,22915.0,49140.0
2026-09-20T16:17:08.516551+00:00,100.0,297.88,22915.0,49140.0
2026-09-20T16:17:09.540191+00:00,96.0,280.58,22915.0,49140.0
2026-09-20T16:17:10.562265+00:00,100.0,298.83,22915.0,49140.0
2026-09-20T16:17:11.586419+00:00,100.0,280.93,22915.0,49140.0
2026-09-20T16:17:12.609344+00:00,100.0,299.12,22915.0,49140.0
2026-09-20T16:17:13.634426+00:00,100.0,282.12,22915.0,49140.0
2026-09-20T16:17:14.659064+00:00,100.0,298.8,22915.0,49140.0
2026-09-20T16:17:15.680962+00:00,100.0,281.54,22915.0,49140.0
2026-09-20T16:17:16.705941+00:00,100.0,299.03,22915.0,49140.0
2026-09-20T16:17:17.727831+00:00,100.0,280.82,22915.0,49140.0
2026-09-20T16:17:18.750513+00:00,100.0,299.21,22915.0,49140.0
2026-09-20T16:17:19.772576+00:00,100.0,283.03,22915.0,49140.0
2026-09-20T16:17:20.797727+00:00,100.0,299.41,22915.0,49140.0
2026-09-20T16:17:21.819653+00:00,100.0,283.4,22915.0,49140.0
2026-09-20T16:17:22.844367+00:00,100.0,298.77,22915.0,49140.0
2026-09-20T16:17:23.866191+00:00,100.0,282.97,22915.0,49140.0
2026-09-20T16:17:24.890804+00:00,95.0,297.59,22915.0,49140.0
2026-09-20T16:17:25.912348+00:00,100.0,282.74,22915.0,49140.0
2026-09-20T16:17:26.935382+00:00,80.0,277.02,22915.0,49140.0
2026-09-20T16:17:27.957056+00:00,100.0,277.88,22915.0,49140.0
2026-09-20T16:17:28.980195+00:00,100.0,289.33,22915.0,49140.0
2026-09-20T16:17:30.002278+00:00,100.0,277.33,22915.0,49140.0
2026-09-20T16:17:31.024205+00:00,100.0,282.36,22915.0,49140.0
2026-09-20T16:17:32.048378+00:00,100.0,276.33,22915.0,49140.0
2026-09-20T16:17:33.070016+00:00,82.0,292.78,22915.0,49140.0
